var,lead,rmse,rmse_latw,acc,acc_latw,n,date,hour,rollout_dir,pred_path,gt_path
z500,6,79.88393176711341,15.575824382691152,0.9996868115810372,0.9999823205024239,1038240,20230709,00,/root/autodl-tmp/pangu-weather-repro/outputs/day4_rollout_06h,/root/autodl-tmp/pangu-weather-repro/outputs/day4_rollout_06h/rollout_pressure_6h.npy,/root/autodl-tmp/pangu-weather-repro/era5_raw/era5_pressure_2023070906.nc
t2m,6,1.2234959935569774,0.6029959185482175,0.9981953445973621,0.9990572909088129,1038240,20230709,00,/root/autodl-tmp/pangu-weather-repro/outputs/day4_rollout_06h,/root/autodl-tmp/pangu-weather-repro/outputs/day4_rollout_06h/rollout_surface_6h.npy,/root/autodl-tmp/pangu-weather-repro/era5_raw/era5_single_2023070906.nc
u10,6,0.5559138132386503,0.46444018375121704,0.9952196104029188,0.9968269987430807,1038240,20230709,00,/root/autodl-tmp/pangu-weather-repro/outputs/day4_rollout_06h,/root/autodl-tmp/pangu-weather-repro/outputs/day4_rollout_06h/rollout_surface_6h.npy,/root/autodl-tmp/pangu-weather-repro/era5_raw/era5_single_2023070906.nc
